Frame, Time (ms), Delta (ms) , Memory (mb)
  522,7805.654,14.617,5496
  523,7818.237,12.583,5496
  524,7833.154,14.917,5496
  525,7846.640,13.486,5496
  526,7858.575,11.935,5496
  527,7869.885,11.310,5496
  528,7886.466,16.581,5496
  529,7902.174,15.708,5496
  530,7916.805,14.631,5496
  531,7929.409,12.604,5496
  532,7940.205,10.795,5496
  533,7956.782,16.578,5496
  534,7970.676,13.894,5496
  535,7990.190,19.514,5496
  536,8002.073,11.883,5496
  537,8017.949,15.876,5496
  538,8034.712,16.763,5496
  539,8046.172,11.460,5496
  540,8054.963, 8.791,5496
  541,8066.863,11.900,5496
  542,8084.776,17.913,5496
  543,8097.983,13.207,5496
  544,8111.734,13.751,5496
  545,8126.003,14.269,5496
  546,8142.698,16.695,5496
  547,8156.102,13.403,5496
  548,8165.503, 9.402,5496
  549,8180.126,14.623,5496
  550,8197.361,17.235,5496
  551,8212.192,14.831,5496
  552,8225.444,13.252,5496
  553,8235.440, 9.996,5496
  554,8258.467,23.026,5496
  555,8269.868,11.402,5496
  556,8277.128, 7.260,5496
  557,8292.154,15.026,5496
  558,8306.015,13.860,5496
  559,8320.021,14.007,5496
  560,8338.793,18.772,5496
  561,8348.235, 9.442,5496
  562,8362.442,14.207,5496
  563,8375.899,13.457,5496
  564,8392.402,16.503,5496
  565,8413.592,21.189,5496
  566,8429.883,16.291,5496
  567,8450.763,20.880,5497
  568,8459.073, 8.311,5497
  569,8470.426,11.352,5497
  570,8483.015,12.589,5497
  571,8493.990,10.976,5497
  572,8506.711,12.721,5497
  573,8516.604, 9.893,5497
  574,8534.062,17.458,5497
  575,8545.190,11.128,5497
  576,8563.572,18.382,5497
  577,8573.290, 9.718,5497
  578,8589.771,16.480,5497
  579,8611.526,21.756,5497
  580,8623.957,12.431,5497
  581,8632.862, 8.905,5497
  582,8643.479,10.616,5497
  583,8658.069,14.591,5497
  584,8677.817,19.748,5497
  585,8688.307,10.489,5497
  586,8703.695,15.389,5497
  587,8714.659,10.964,5497
  588,8728.113,13.454,5497
  589,8745.054,16.940,5497
  590,8756.262,11.208,5497
  591,8770.218,13.956,5497
  592,8786.309,16.091,5497
  593,8801.219,14.910,5497
  594,8817.299,16.080,5497
  595,8831.912,14.614,5497
  596,8844.409,12.497,5497
  597,8858.115,13.706,5497
  598,8874.799,16.683,5497
  599,8889.636,14.837,5497
  600,8896.640, 7.004,5497
  601,8912.956,16.317,5497
  602,8928.402,15.446,5497
  603,8942.839,14.436,5498
  604,8957.257,14.418,5498
  605,8971.473,14.216,5498
  606,8984.848,13.375,5498
  607,8997.717,12.869,5498
  608,9013.598,15.881,5498
  609,9022.318, 8.721,5498
  610,9041.869,19.551,5498
  611,9057.625,15.756,5498
  612,9069.889,12.263,5498
  613,9078.562, 8.673,5498
  614,9099.953,21.392,5498
  615,9109.012, 9.058,5498
  616,9129.678,20.666,5498
  617,9156.720,27.042,5498
  618,9177.202,20.483,5498
  619,9189.071,11.869,5498
  620,9202.726,13.654,5498
  621,9217.964,15.238,5498
  622,9227.647, 9.684,5498
  623,9257.076,29.429,5498
  624,9270.596,13.519,5498
  625,9288.405,17.810,5498
  626,9299.895,11.489,5498
  627,9315.795,15.900,5498
  628,9328.808,13.013,5498
  629,9344.787,15.980,5498
  630,9359.265,14.477,5498
  631,9375.632,16.367,5498
  632,9390.475,14.843,5498
  633,9404.584,14.110,5498
  634,9420.506,15.921,5498
  635,9435.120,14.615,5498
  636,9448.582,13.462,5498
  637,9463.928,15.345,5498
  638,9477.890,13.962,5498
  639,9493.576,15.687,5498
  640,9510.149,16.573,5498
  641,9526.840,16.690,5498
  642,9539.814,12.975,5498
  643,9553.526,13.712,5498
  644,9571.914,18.388,5498
  645,9585.705,13.791,5498
  646,9601.456,15.751,5498
  647,9616.087,14.630,5498
  648,9630.501,14.415,5498
  649,9650.455,19.954,5498
  650,9664.452,13.997,5498
  651,9679.382,14.929,5498
  652,9696.010,16.628,5498
